T,E,fold_cv,task_id,logloss_poda,logloss_real,logloss_perdido(%),n_iter_poda,n_iter_real,iter_ahorradas(%),sesgo_calibracion
10,0.0,1,168757,0.486913,0.483917,0.6191,515648,1089330,52.6637,0.134383
10,0.0,1,168911,0.397267,0.395381,0.477,433202,1078823,59.8449,0.127004
10,0.0,1,359958,0.177909,0.174458,1.9781,106738,1203058,91.1278,0.032021
10,0.0,1,359971,0.074054,0.074054,0.0,598663,2192970,72.7008,-0.046499
10,0.0,1,359979,0.160894,0.152303,5.6407,151688,2219443,93.1655,0.049766
10,0.0,1,359982,0.192176,0.191489,0.3588,160206,2257560,92.9036,0.039562
10,0.0,1,359983,0.272251,0.272251,0.0,539929,2765344,80.4752,0.007383
10,0.0,2,190137,0.141292,0.141292,0.0,197032,967234,79.6293,-0.013216
10,0.0,2,190410,0.442706,0.43374,2.0671,192649,2133582,90.9706,0.045791
10,0.0,2,190411,0.294607,0.293145,0.4987,211307,1588070,86.6941,0.015657
10,0.0,2,359962,0.329269,0.329269,-0.0,189283,823297,77.0091,0.063067
10,0.0,2,359968,0.14374,0.141681,1.4533,247185,1567975,84.2354,-0.043312
10,0.0,2,359972,0.132989,0.130461,1.9377,459215,2115802,78.2959,0.045323
10,0.1,0,146820,0.0394,0.038271,2.95,146182,1740856,91.6029,-0.119779
10,0.1,0,168350,0.23352,0.23352,0.0,515060,1704624,69.7845,-0.045382
10,0.1,0,190392,0.343725,0.331513,3.6837,175222,2030996,91.3726,0.037291
10,0.1,0,359956,0.294834,0.292846,0.6789,525838,1344127,60.8788,-0.056464
10,0.1,0,359965,0.015906,0.015906,0.0,710494,2178742,67.3897,-0.183477
10,0.1,0,359975,0.020519,0.020519,0.0,170674,866019,80.2921,-0.145525
10,0.1,0,359980,0.067476,0.067476,0.0,1258047,3195868,60.6352,-0.146925
10,0.1,1,168757,0.483917,0.483917,-0.0,997479,1089330,8.4319,0.134383
10,0.1,1,168911,0.395381,0.395381,0.0,670836,1078823,37.8178,0.127004
10,0.1,1,359958,0.174458,0.174458,0.0,1068574,1203058,11.1785,0.032021
10,0.1,1,359971,0.074054,0.074054,0.0,817521,2192970,62.7208,-0.046499
10,0.1,1,359979,0.153632,0.152303,0.8726,184456,2219443,91.6891,0.049766
10,0.1,1,359982,0.191489,0.191489,0.0,2257560,2257560,0.0,0.039562
10,0.1,1,359983,0.272251,0.272251,0.0,2765344,2765344,0.0,0.007383
10,0.1,2,190137,0.141292,0.141292,0.0,205663,967234,78.737,-0.013216
10,0.1,2,190410,0.43374,0.43374,0.0,1990594,2133582,6.7018,0.045791
10,0.1,2,190411,0.293145,0.293145,0.0,1586037,1588070,0.128,0.015657
10,0.1,2,359962,0.329269,0.329269,-0.0,819441,823297,0.4684,0.063067
10,0.1,2,359968,0.141681,0.141681,0.0,668757,1567975,57.349,-0.043312
10,0.1,2,359972,0.131118,0.130461,0.5036,1127858,2115802,46.6936,0.045323
15,-0.2,0,146820,0.039091,0.038271,2.1426,235472,1740856,86.4738,-0.092002
15,-0.2,0,168350,0.256177,0.23352,9.7024,164145,1704624,90.3706,-0.05208
15,-0.2,0,190392,0.374188,0.331513,12.8728,173401,2030996,91.4623,0.019362
15,-0.2,0,359956,0.295673,0.292846,0.9654,139734,1344127,89.6041,-0.067447
15,-0.2,0,359965,0.015906,0.015906,0.0,532485,2178742,75.56,-0.111232
15,-0.2,0,359975,0.020755,0.020519,1.1502,148613,865797,82.8351,-0.089219
15,-0.2,0,359980,0.067476,0.067476,0.0,1175370,3195868,63.2222,-0.148479
15,-0.2,1,168757,0.486913,0.48316,0.7768,128062,1089280,88.2434,0.143299
15,-0.2,1,168911,0.401516,0.395381,1.5517,191344,1078823,82.2636,0.004244
15,-0.2,1,359958,0.177909,0.174458,1.9781,130738,1203058,89.1329,0.010507
15,-0.2,1,359971,0.096141,0.074054,29.8255,337914,2192970,84.591,-0.001584
15,-0.2,1,359979,0.16251,0.152303,6.7018,174983,2219443,92.1159,0.02222
15,-0.2,1,359982,0.192176,0.191489,0.3588,184206,2257560,91.8405,0.019891
15,-0.2,1,359983,0.272901,0.272251,0.2388,202937,2765344,92.6614,-0.023943
15,-0.2,2,190137,0.143959,0.141292,1.8876,120059,967127,87.586,0.019922
15,-0.2,2,190410,0.442706,0.43374,2.0671,174246,2133582,91.8332,0.049248
15,-0.2,2,190411,0.294607,0.293145,0.4987,185630,1588070,88.311,0.013694
15,-0.2,2,359962,0.33539,0.318707,5.2347,112808,823005,86.2932,0.056739
15,-0.2,2,359968,0.14374,0.141681,1.4533,275151,1567975,82.4518,-0.031589
15,-0.2,2,359972,0.130461,0.130461,0.0,704145,2115802,66.7197,-0.099048
15,-0.1,0,146820,0.039091,0.038271,2.1426,290271,1740856,83.326,-0.092002
15,-0.1,0,168350,0.235516,0.23352,0.8547,168437,1704624,90.1188,-0.05208
15,-0.1,0,190392,0.374188,0.331513,12.8728,185358,2030996,90.8735,0.019362
