T,E,fold_cv,task_id,logloss_poda,logloss_real,logloss_perdido(%),n_iter_poda,n_iter_real,iter_ahorradas(%),sesgo_calibracion
15,0.0,2,190410,0.442706,0.425278,4.098,140573,545157,74.2142,0.0755
15,0.0,2,190411,0.290814,0.290798,0.0055,412399,1027795,59.8754,0.028881
15,0.0,2,359962,0.32717,0.309847,5.5909,82305,202981,59.4519,0.061809
15,0.0,2,359968,0.140843,0.140843,0.0,195877,817466,76.0385,-0.030832
15,0.0,2,359972,0.126079,0.126079,0.0,339680,416740,18.4911,-0.072368
15,0.1,0,146820,0.0382,0.037995,0.5395,210721,1238041,82.9795,-0.066918
15,0.1,0,168350,0.226935,0.225671,0.5601,264417,630490,58.0617,-0.00475
15,0.1,0,190392,0.32724,0.3172,3.1652,156172,713336,78.1068,0.071586
15,0.1,0,359956,0.285494,0.285494,0.0,421022,441191,4.5715,-0.005015
15,0.1,0,359965,0.016131,0.016131,0.0,820833,849323,3.3544,-0.121818
15,0.1,0,359975,0.020512,0.020512,0.0,181287,288388,37.1378,-0.056484
15,0.1,0,359980,0.066671,0.066671,-0.0,1432334,1577750,9.2167,-0.084545
15,0.1,1,168757,0.479304,0.479304,0.0,301394,301394,0.0,0.108444
15,0.1,1,168911,0.392326,0.392326,0.0,231821,467507,50.4134,0.105459
15,0.1,1,359958,0.170866,0.170866,0.0,344844,385852,10.6279,0.019789
15,0.1,1,359971,0.062183,0.062183,0.0,753364,786481,4.2108,-0.050195
15,0.1,1,359979,0.154014,0.149956,2.7061,142304,1203291,88.1738,0.067807
15,0.1,1,359982,0.1906,0.1906,0.0,881188,901464,2.2492,0.039351
15,0.1,1,359983,0.271274,0.271175,0.0365,623474,1355440,54.0021,0.017361
15,0.1,2,190137,0.140074,0.140074,0.0,477219,494909,3.5744,0.018327
15,0.1,2,190410,0.439612,0.425278,3.3705,201158,545157,63.1009,0.0755
15,0.1,2,190411,0.290798,0.290798,0.0,625242,1027795,39.1667,0.028881
15,0.1,2,359962,0.310134,0.309847,0.0928,135175,202981,33.4051,0.061809
15,0.1,2,359968,0.140843,0.140843,0.0,216466,817466,73.5199,-0.030832
15,0.1,2,359972,0.126079,0.126079,0.0,347313,416740,16.6595,-0.072368
20,-0.2,0,146820,0.038538,0.037995,1.4291,157773,1238041,87.2562,-0.038656
20,-0.2,0,168350,0.227085,0.225671,0.6266,174919,630490,72.2567,-0.032105
20,-0.2,0,190392,0.374188,0.3172,17.966,137350,713336,80.7454,0.033273
20,-0.2,0,359956,0.287348,0.285494,0.6494,119225,441169,72.9752,-0.031719
20,-0.2,0,359965,0.016131,0.016131,0.0,816156,849323,3.9051,-0.161786
20,-0.2,0,359975,0.02033,0.02033,0.0,149184,288321,48.2577,0.042456
20,-0.2,0,359980,0.066671,0.066671,-0.0,1391293,1577750,11.8179,-0.092461
20,-0.2,1,168757,0.486913,0.479304,1.5875,92057,301348,69.4516,0.086052
20,-0.2,1,168911,0.401516,0.392326,2.3424,89677,467507,80.818,-0.014692
20,-0.2,1,359958,0.177909,0.170866,4.1219,94680,385832,75.4608,0.031337
20,-0.2,1,359971,0.063574,0.062183,2.2369,178823,786481,77.2629,0.040591
20,-0.2,1,359979,0.16251,0.149956,8.3718,138711,1203291,88.4724,0.029808
20,-0.2,1,359982,0.192176,0.1906,0.8269,148298,901464,83.5492,0.030078
